experiment	track	description	rules_count	tests_count	pass_fail	notes
14	rollback	Track 3: create rollback.sh, add rollback commands to privacy.sh & firewall.sh record_rollback_change calls, add 14 rollback tests	72	131	pass	Track 3 complete; rollback.sh supports --dry-run, --json, --list, --latest; privacy.sh and firewall.sh now record reversible rollback commands
15	test-coverage	add comprehensive cross-cutting rule validator: 15 tests validating all 72 rules for schema, severity, read-only checks, 800-53 references, profile coverage, id/filename match, no duplicates	72	146	pass	Track 2: catches regressions across ALL rules in one pass; validates schema, safety, references, profiles, and naming consistency
16	rollback	extend rollback commands to encryption.sh (fdesetup disable) and app_security.sh (spctl disable) + 5 tests verifying all 4 core scripts have proper 3-arg rollback calls	72	151	pass	Track 3: all 4 core scripts (privacy, firewall, encryption, app_security) now record reversible rollback commands
17	cli-scan	add scan module + CLI subcommand: loads YAML rules, filters by profile/severity, runs checks, reports compliance; --dry-run, --json, --profile, --severity flags + 24 tests	72	175	pass	Track 2: scan command ties rules + profiles into usable audit tool; supports cis_level1/cis_level2/stig profiles, severity filtering, JSON output
18	cli-fix	add fix module + CLI subcommand: checks compliance then runs fix commands for non-compliant rules; --dry-run, --json, --profile, --severity, --check-timeout, --fix-timeout flags; verifies fixes post-application + 22 tests	72	197	pass	Track 2: completes scan→fix audit cycle; fix checks first, remediates non-compliant, verifies post-fix; supports profiles, severity filtering, JSON output
19	cli-rollback	add rollback.py module + CLI subcommand: list/inspect/apply rollback metadata; --list, --latest, --dry-run, --json, --state-dir, --timeout flags; LIFO order, fallback defaults delete + 25 tests	72	222	pass	Track 2/3: completes scan→fix→rollback cycle in unified Python CLI; 17 module tests + 8 CLI integration tests
20	cli-report	add report.py module + CLI subcommand: comprehensive CIS Benchmark compliance reports with per-section breakdown, L1/L2 level summary, NIST 800-53 family coverage, text/JSON/CSV output; --profile, --severity, --dry-run, --format flags + 25 tests	72	247	pass	Track 2: auditor-ready compliance reporting; 77 CIS controls mapped with per-section scores, level breakdown, NIST family coverage; 19 module tests + 6 CLI integration tests
21	odv-support	add ODV (Organization-Defined Values) support: odv.py module with load/validate/extract functions, config/odv_defaults.yaml with 11 tunable parameters, update all 72 rules (61 boolean→odv:none, 11 tunable→structured ODV metadata) + 20 tests	72	267	pass	Track 2: enables orgs to customize thresholds (password length, timeouts, retention) per CIS ODV framework; validates schema, types, uniqueness; foundation for ODV-aware scan/fix
22	odv-pipeline	ODV-aware scan/fix/report: add fix_odv/check_odv templates to 11 tunable rules, substitute_odv/get_effective_check/fix_command functions, wire ODV into scan/fix/report modules, --odv-file CLI flag for all 3 subcommands + 22 tests	72	289	pass	Track 2: completes ODV end-to-end; orgs can now pass --odv-file to scan/fix/report to enforce custom thresholds; backward-compatible (existing commands unchanged without --odv-file)
23	exemptions	add exemption/exception management: exemptions.py module, config/exemptions_example.yaml, --exempt-file flag on scan/fix/report, exempt rules excluded from failures with audit trail + 25 tests	72	314	pass	Track 2: production-critical feature; orgs document accepted risks with rule_id/reason/approved_by/expires; expired exemptions auto-revert; backward-compatible (no behavior change without --exempt-file)
